File Name,,,20210525_209193940322_BB1_01.RCC,20210525_209193940322_BB2_02.RCC,20210525_209193940322_BB3_03.RCC,20210525_209193940322_FESS1_12.RCC,20210525_209193940322_Fn sup1_04.RCC,20210525_209193940322_Fn sup2_05.RCC,20210525_209193940322_Fn sup3_06.RCC,20210525_209193940322_Po sup1_07.RCC,20210525_209193940322_Po sup2_08.RCC,20210525_209193940322_Po sup3_09.RCC,20210525_209193940322_Sa FESS1 1_10.RCC,20210525_209193940322_Sa FESS1 2_11.RCC
Description,,,,,,,,,,,,,,
Sample ID,,,BB1,BB2,BB3,FESS1,Fn sup1,Fn sup2,Fn sup3,Po sup1,Po sup2,Po sup3,Sa FESS1 1,Sa FESS1 2
Owner,,,,,,,,,,,,,,
Sample Date,,,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021,05/25/2021
File Version,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Gene RLF,,,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987,HUNTER_V1_C8987
Comments,,,,,,,,,,,,,,
Lane ID,,,1.00,2.00,3.00,12.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00
FOV Count,,,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00
FOV Counted,,,280.00,280.00,278.00,279.00,273.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00
Scanner ID,,,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090,1303C0090
Stage Position,,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Binding Density,,,2.36,3.09,3.22,0.13,1.70,1.74,1.59,2.07,2.79,3.42,1.10,1.36
Messages,,,;This biological sample appears to be too concentrated and/or to have too many high expressing targets.  You may be losing data due to flow cell saturation.  Try using half the amount of input RNA for this sample.,;This biological sample appears to be too concentrated and/or to have too many high expressing targets.  You may be losing data due to flow cell saturation.  Try using half the amount of input RNA for this sample.,;This biological sample appears to be too concentrated and/or to have too many high expressing targets.  You may be losing data due to flow cell saturation.  Try using half the amount of input RNA for this sample.,,,,,,;This biological sample appears to be too concentrated and/or to have too many high expressing targets.  You may be losing data due to flow cell saturation.  Try using half the amount of input RNA for this sample.,;This biological sample appears to be too concentrated and/or to have too many high expressing targets.  You may be losing data due to flow cell saturation.  Try using half the amount of input RNA for this sample.,,
Positive,POS_A,ERCC_00117.1,6289.00,5958.00,4916.00,17513.00,12137.00,12418.00,11157.00,10157.00,6856.00,3474.00,15841.00,13308.00
Positive,POS_B,ERCC_00112.1,1745.00,1585.00,1239.00,4708.00,3433.00,3356.00,3148.00,2763.00,1878.00,953.00,4451.00,3679.00
Positive,POS_C,ERCC_00002.1,443.00,416.00,327.00,1259.00,837.00,876.00,733.00,706.00,469.00,281.00,1111.00,935.00
Positive,POS_D,ERCC_00092.1,94.00,95.00,90.00,295.00,192.00,198.00,185.00,130.00,99.00,67.00,243.00,217.00
Positive,POS_E,ERCC_00035.1,51.00,32.00,36.00,62.00,63.00,51.00,58.00,53.00,33.00,25.00,49.00,65.00
Positive,POS_F,ERCC_00034.1,21.00,23.00,15.00,56.00,31.00,38.00,23.00,23.00,26.00,10.00,38.00,46.00
Negative,NEG_A,ERCC_00096.1,17.00,16.00,15.00,3.00,17.00,18.00,12.00,21.00,22.00,14.00,132.00,26.00
Negative,NEG_B,ERCC_00041.1,37.00,43.00,32.00,3.00,36.00,30.00,50.00,35.00,43.00,41.00,20.00,27.00
Negative,NEG_C,ERCC_00019.1,10.00,14.00,17.00,2.00,18.00,19.00,27.00,19.00,12.00,7.00,14.00,5.00
Negative,NEG_D,ERCC_00076.1,11.00,9.00,14.00,1.00,17.00,14.00,16.00,9.00,16.00,9.00,13.00,14.00
Negative,NEG_E,ERCC_00098.1,15.00,19.00,12.00,8.00,24.00,31.00,23.00,23.00,27.00,15.00,57.00,21.00
Negative,NEG_F,ERCC_00126.1,48.00,41.00,49.00,9.00,48.00,41.00,41.00,34.00,41.00,36.00,17.00,25.00
Negative,NEG_G,ERCC_00144.1,4.00,3.00,1.00,1.00,4.00,1.00,2.00,1.00,1.00,5.00,6.00,13.00
Negative,NEG_H,ERCC_00154.1,2.00,2.00,1.00,1.00,2.00,1.00,2.00,4.00,3.00,3.00,7.00,12.00
Endogenous,agrA,SAOUHSC_02265.1,41399.31,37126.19,49195.56,19521.25,18566.45,14987.78,11691.40,26172.94,36258.09,48827.44,46810.67,8276.75
